"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","M.at_home","M.health","M.other","M.services","M.teacher","F.at_home","F.health","F.other","F.services","F.teacher","g.father","g.mother","g.other","r.course","r.home","r.other","r.reputation"
"1",1,1,18,2,1,1,4,4,2,2,0,2,1,1,1,2,2,1,1,4,3,4,1,1,3,4,0,11,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"2",1,1,17,2,1,2,1,1,1,2,0,1,2,1,1,1,2,2,1,5,3,3,1,1,3,2,9,11,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"3",1,1,15,2,2,2,1,1,1,2,0,2,1,1,1,2,2,2,1,4,3,2,2,3,3,6,12,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"4",1,1,15,2,1,2,4,2,1,3,0,1,2,1,2,2,2,2,2,3,2,2,1,1,5,0,14,14,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"5",1,1,16,2,1,2,3,3,1,2,0,1,2,1,1,2,2,1,1,4,3,2,1,2,5,0,11,13,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"6",1,2,16,2,2,2,4,3,1,2,0,1,2,1,2,2,2,2,1,5,4,2,1,2,5,6,12,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"7",1,2,16,2,2,2,2,2,1,2,0,1,1,1,1,2,2,2,1,4,4,4,1,1,3,0,13,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"8",1,1,17,2,1,1,4,4,2,2,0,2,2,1,1,2,2,1,1,4,1,4,1,1,1,2,10,13,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"9",1,2,15,2,2,1,3,2,1,2,0,1,2,1,1,2,2,2,1,4,2,2,1,1,1,0,15,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"10",1,2,15,2,1,2,3,4,1,2,0,1,2,1,2,2,2,2,1,5,5,1,1,1,5,0,12,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"11",1,1,15,2,1,2,4,4,1,2,0,1,2,1,1,2,2,2,1,3,3,3,1,2,2,2,14,14,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"12",1,1,15,2,1,2,2,1,3,3,0,1,2,1,2,2,2,2,1,5,2,2,1,1,4,0,10,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"13",1,2,15,2,2,2,4,4,1,1,0,1,2,1,2,2,2,2,1,4,3,3,1,3,5,0,12,13,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"14",1,2,15,2,1,2,4,3,2,2,0,1,2,1,1,2,2,2,1,5,4,3,1,2,3,0,12,12,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"15",1,2,15,2,1,1,2,2,1,3,0,1,2,1,1,2,2,2,2,4,5,2,1,1,3,0,14,14,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"16",1,1,16,2,1,2,4,4,1,1,0,1,2,1,1,2,2,2,1,4,4,4,1,2,2,6,17,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"17",1,1,16,2,1,2,4,4,1,3,0,1,2,1,2,2,2,2,1,3,2,3,1,2,2,10,13,13,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"18",1,1,16,2,1,2,3,3,3,2,0,2,2,1,2,2,2,1,1,5,3,2,1,1,4,2,13,14,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"19",1,2,17,2,1,2,3,2,1,1,3,1,2,2,2,2,2,2,1,5,5,5,2,4,5,2,8,8,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"20",1,2,16,2,2,2,4,3,1,1,0,1,1,1,2,2,2,2,1,3,1,3,1,3,5,6,12,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"21",1,2,15,2,1,2,4,3,1,2,0,1,1,1,1,2,2,2,1,4,4,1,1,1,1,0,12,13,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"22",1,2,15,2,1,2,4,4,1,1,0,1,2,2,1,2,2,2,1,5,4,2,1,1,5,0,11,12,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"23",1,2,16,2,2,2,4,2,1,2,0,1,1,1,2,2,2,2,1,4,5,1,1,3,5,0,12,13,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"24",1,2,16,2,2,2,2,2,2,2,0,1,2,1,2,2,2,2,1,5,4,4,2,4,5,2,10,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"25",1,1,15,1,1,2,2,4,1,3,0,2,2,1,2,2,2,2,1,4,3,2,1,1,5,2,10,11,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"26",1,1,16,2,1,2,2,2,1,1,0,1,2,1,1,1,2,2,1,1,2,2,1,3,5,6,10,11,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"27",1,2,15,2,1,2,2,2,1,1,0,1,2,1,1,2,2,2,1,4,2,2,1,2,5,8,11,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"28",1,2,15,2,1,2,4,2,1,1,0,1,1,1,1,2,2,2,1,2,2,4,2,4,1,0,11,11,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"29",1,2,16,2,2,1,3,4,1,2,0,2,2,2,2,2,2,2,1,5,3,3,1,1,5,2,12,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"30",1,2,16,2,1,2,4,4,1,2,0,1,2,2,2,2,2,2,2,4,4,5,5,5,5,4,12,11,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"31",1,2,15,2,1,2,4,4,1,2,0,1,2,2,1,1,2,2,1,5,4,2,3,4,5,0,10,11,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"32",1,2,15,2,1,2,4,4,2,2,0,1,2,1,2,2,2,2,1,4,3,1,1,1,5,2,15,15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"33",1,2,15,1,1,2,4,3,1,2,0,1,2,1,2,2,2,2,2,4,5,2,1,1,5,0,13,14,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"34",1,2,15,2,2,2,3,3,1,2,0,1,1,1,2,1,2,2,1,5,3,2,1,1,2,0,13,12,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"35",1,2,16,2,1,2,3,2,1,1,0,1,2,1,1,1,2,2,1,5,4,3,1,1,5,4,12,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"36",1,1,15,2,1,2,2,3,2,1,0,1,2,1,2,2,2,1,1,3,5,1,1,1,5,4,11,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"37",1,2,15,2,2,2,4,3,1,3,0,1,2,1,2,2,2,2,1,5,4,3,1,1,4,0,14,14,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"38",1,2,16,1,1,1,4,4,2,3,0,1,2,1,2,2,2,2,2,2,4,3,1,1,5,4,13,13,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"39",1,1,15,1,1,2,3,4,1,3,0,2,2,1,2,2,2,2,1,4,3,2,1,1,5,2,11,12,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"40",1,1,15,1,1,2,2,2,1,1,0,2,2,1,2,2,2,1,1,4,3,1,1,1,2,8,14,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"41",1,1,16,2,2,2,2,2,2,2,0,1,2,1,2,1,2,2,2,3,3,3,1,2,3,16,11,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"42",1,2,15,2,2,2,4,4,1,1,0,1,2,1,1,1,2,2,2,5,4,3,2,4,5,8,10,11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"43",1,2,15,2,1,2,4,4,1,2,0,1,2,1,2,2,2,2,1,4,3,3,1,1,5,0,14,15,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"44",1,2,15,2,1,2,2,2,1,1,0,2,2,1,1,2,2,2,1,5,4,1,1,1,1,0,9,10,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"45",1,1,16,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,4,3,3,2,2,5,14,10,11,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"46",1,1,15,2,2,1,4,3,1,2,0,2,2,2,2,2,2,2,2,5,2,2,1,1,5,4,10,11,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"47",1,1,16,2,2,1,3,3,1,2,0,1,2,1,1,2,2,2,1,2,3,5,1,4,3,6,13,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"48",1,2,16,2,1,2,4,3,1,4,0,1,1,1,2,2,2,2,1,4,2,2,1,1,2,2,17,17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"49",1,2,15,2,1,2,4,2,1,2,0,1,2,1,1,2,2,1,1,4,3,3,2,2,5,4,11,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"50",1,1,15,2,1,2,4,4,1,2,0,2,2,1,2,1,2,2,1,4,4,4,1,1,3,2,13,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"51",1,1,16,2,2,2,2,2,3,2,0,1,2,1,1,2,2,2,1,4,3,3,2,3,4,0,14,13,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"52",1,1,15,2,2,2,4,2,1,2,0,1,2,1,1,2,2,2,1,4,3,3,1,1,5,0,16,14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"53",1,2,15,2,2,1,4,2,2,1,0,1,1,1,1,2,2,1,1,5,5,5,3,4,5,4,10,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"54",1,1,15,2,1,2,4,4,1,1,0,2,2,1,1,2,2,2,1,3,3,4,2,3,5,0,13,12,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"55",1,1,15,2,2,1,3,3,1,1,0,1,1,1,1,2,2,2,1,5,3,4,4,4,1,0,13,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"56",1,1,16,2,1,1,2,1,1,2,0,1,1,1,2,2,2,2,2,5,3,4,1,1,2,2,12,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"57",1,1,15,2,1,1,4,3,1,2,0,1,2,1,2,2,2,2,1,4,3,2,1,1,1,0,15,14,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"58",1,2,15,2,1,2,4,4,1,2,0,1,2,1,2,2,2,1,1,3,2,2,1,1,5,8,15,15,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"59",1,2,15,2,2,2,1,2,1,2,0,2,2,1,2,2,2,2,1,4,3,2,1,1,5,0,14,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"60",1,1,16,2,1,2,4,2,1,2,0,1,2,2,1,2,2,2,1,4,2,3,1,1,5,2,16,15,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"61",1,1,16,1,1,2,4,4,1,2,0,1,2,1,2,2,2,1,1,2,4,4,2,3,4,0,17,16,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"62",1,1,16,2,1,2,1,1,4,1,0,2,2,1,2,1,2,2,2,5,5,5,5,5,5,0,10,10,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"63",1,1,16,2,2,2,1,2,1,2,0,2,1,1,2,2,2,2,1,4,4,3,1,1,1,0,13,13,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"64",1,1,16,2,1,2,4,3,1,3,0,2,2,1,2,2,2,2,1,3,4,4,2,4,4,0,14,13,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
"65",1,1,15,2,2,2,4,3,1,2,0,2,1,1,2,2,2,2,2,4,4,4,2,4,2,0,13,12,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"66",1,1,16,2,2,2,4,3,3,2,0,1,2,1,2,2,2,2,1,5,4,3,1,2,1,2,16,15,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"67",1,2,15,2,1,1,4,4,1,4,0,1,2,1,2,1,2,2,2,1,3,3,5,5,3,0,11,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"68",1,1,16,2,1,2,3,1,1,4,0,2,2,1,1,2,2,2,1,4,3,3,1,2,5,0,10,9,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"69",1,1,15,1,2,2,2,2,2,2,0,2,2,1,1,2,2,2,1,4,1,3,1,3,4,0,11,10,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"70",1,1,15,1,2,2,3,1,2,4,0,1,2,1,1,1,2,2,1,4,4,2,2,3,3,6,15,15,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"71",1,2,16,2,1,2,3,1,2,4,0,1,2,1,1,2,2,2,1,4,3,2,1,1,5,2,13,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"72",1,2,15,2,1,2,4,2,1,4,0,1,1,1,1,2,2,2,1,3,3,3,1,1,3,0,11,9,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"73",1,1,15,1,1,2,1,1,1,2,0,2,2,1,1,1,2,2,2,3,3,4,2,4,5,2,13,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"74",1,2,16,2,1,2,3,1,1,1,0,1,1,1,2,2,2,1,1,5,3,2,2,2,5,0,13,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"75",1,1,16,2,1,2,3,3,1,2,0,2,2,1,2,2,2,2,1,4,3,3,2,4,5,4,11,11,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"76",1,2,15,2,1,2,4,3,1,2,0,1,2,1,2,2,2,2,1,4,3,3,2,3,5,0,11,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"77",1,2,15,2,1,2,4,0,2,4,0,1,1,1,2,2,2,2,1,3,4,3,1,1,1,0,12,11,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"78",1,1,16,2,1,2,2,2,1,4,0,1,1,1,1,2,2,2,2,5,2,3,1,3,3,1,13,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"79",1,2,17,2,1,2,2,1,2,1,3,2,2,1,2,2,1,2,1,4,5,1,1,1,3,0,9,9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"80",1,1,16,2,1,2,3,4,1,2,0,1,2,1,1,2,2,2,1,2,4,3,1,2,3,14,12,11,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"81",1,2,15,2,1,2,2,3,1,1,0,2,2,1,2,1,2,2,2,3,2,2,1,3,3,0,11,11,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"82",1,2,15,2,1,2,2,3,1,3,0,2,1,1,1,1,2,2,1,5,3,2,1,2,5,2,10,9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"83",1,1,15,2,2,2,3,2,1,2,0,1,2,1,1,2,2,2,1,4,4,4,1,1,5,4,12,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"84",1,2,15,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,1,5,3,3,1,3,4,2,13,12,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"85",1,1,15,2,1,2,1,1,1,2,0,1,2,1,2,1,2,2,1,4,3,2,2,3,4,2,13,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"86",1,1,15,2,1,2,4,4,2,2,0,1,1,1,1,2,2,2,2,4,4,4,2,3,5,4,12,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"87",1,1,16,2,2,2,2,2,1,2,0,1,2,1,1,2,2,1,1,4,3,4,1,2,2,6,13,11,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"88",1,1,15,2,1,2,4,2,1,3,0,1,2,1,2,2,2,2,1,5,3,3,1,3,1,4,15,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"89",1,2,16,2,1,2,2,2,2,2,0,1,1,1,2,1,2,2,1,4,4,2,1,1,3,6,12,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"90",1,2,16,2,2,1,4,4,1,2,0,1,2,1,1,2,2,1,1,4,1,3,3,5,5,6,9,9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"91",1,1,16,2,1,2,3,3,1,3,0,1,2,1,1,2,2,2,2,4,3,3,1,3,4,2,9,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"92",1,1,15,2,1,2,4,3,1,1,0,1,1,1,2,2,2,2,1,4,5,5,1,3,1,6,14,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"93",1,1,16,2,2,2,3,1,1,2,0,2,2,1,1,2,2,1,1,3,3,3,2,3,2,0,12,13,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"94",1,1,16,2,1,2,4,2,2,2,0,1,2,1,2,2,2,2,1,5,3,3,1,1,1,2,13,14,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"95",1,2,15,2,2,2,2,2,1,4,0,1,2,1,2,2,2,2,1,4,3,4,1,1,4,2,11,12,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"96",1,1,15,1,1,2,1,1,2,4,0,2,2,2,2,2,2,2,1,3,1,2,1,1,1,4,13,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"97",1,2,16,1,1,2,4,3,2,1,0,2,2,2,2,1,2,2,1,3,3,3,1,1,4,6,9,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"98",1,1,16,2,1,2,2,1,1,2,0,1,2,1,1,2,2,1,2,4,3,5,1,1,5,0,13,12,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"99",1,1,16,2,1,2,4,4,1,1,0,1,1,1,2,1,2,2,1,5,3,4,1,2,1,4,12,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"100",1,1,16,2,1,2,4,3,1,3,0,2,2,1,1,2,2,2,1,5,3,5,1,1,3,2,12,13,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"101",1,2,16,2,1,2,4,4,1,1,0,2,2,1,2,2,2,2,1,4,5,5,5,5,4,12,9,9,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"102",1,2,16,2,1,2,4,4,1,3,0,1,2,1,2,2,2,2,2,4,4,3,1,1,4,0,16,16,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"103",1,2,15,2,1,2,4,4,1,1,0,1,2,2,2,1,2,2,1,5,3,3,1,1,5,2,12,13,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"104",1,1,15,2,1,2,3,2,2,2,0,2,2,1,1,2,2,2,1,4,3,5,1,1,2,16,11,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"105",1,2,15,2,1,1,3,4,1,2,0,1,2,1,2,2,2,2,1,5,4,4,1,1,1,0,16,16,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"106",1,1,15,2,1,1,3,3,1,4,0,2,1,1,1,2,2,1,1,4,3,3,1,1,4,10,10,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"107",1,1,15,2,1,2,2,2,1,4,0,2,2,1,1,2,2,2,1,5,1,2,1,1,3,4,10,10,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"108",1,2,16,2,1,2,3,3,1,3,0,1,2,1,2,2,2,2,1,5,3,3,1,1,5,4,13,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"109",1,2,15,1,1,2,4,4,4,4,0,1,2,1,2,2,2,2,2,1,3,5,3,5,1,8,12,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"110",1,1,16,2,2,2,4,4,1,3,0,1,2,1,2,2,2,2,2,5,4,5,1,1,4,2,15,15,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"111",1,2,15,2,2,1,4,4,1,1,0,1,1,1,2,2,2,2,1,5,5,3,1,1,4,4,13,14,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
"112",1,1,16,1,1,2,3,3,1,3,0,2,2,1,2,2,2,2,1,4,1,2,1,1,2,4,11,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"113",1,1,16,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,3,1,2,1,1,5,12,8,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"114",1,2,15,2,2,2,4,2,1,1,0,1,1,1,1,2,2,2,1,3,5,2,1,1,3,10,18,17,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"115",1,2,15,1,1,2,2,1,1,2,0,1,1,1,2,2,2,2,2,5,4,2,1,1,5,4,10,9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"116",1,2,16,2,1,2,4,4,1,2,0,1,2,1,2,2,2,2,1,5,4,4,1,2,5,6,16,14,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"117",1,2,15,2,1,2,4,4,2,2,0,1,2,1,2,2,2,1,1,4,4,3,1,1,2,4,16,15,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"118",1,2,16,2,1,2,3,3,2,1,0,1,1,1,2,2,2,2,1,5,4,2,1,1,5,6,14,14,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"119",1,2,17,1,1,2,1,3,3,2,1,1,2,1,2,2,2,2,1,5,2,4,1,4,5,14,12,11,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"120",1,2,15,2,1,2,3,4,1,1,0,1,1,1,1,2,2,2,1,3,4,3,1,2,4,2,14,13,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"121",1,1,15,2,1,2,1,2,1,2,0,1,1,1,1,1,2,2,1,3,2,3,1,2,1,0,14,14,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"122",1,2,15,2,1,2,2,2,1,4,0,1,2,1,2,2,2,2,1,5,5,4,1,2,5,6,14,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"123",1,1,16,2,2,2,2,4,2,2,0,1,2,1,2,2,2,2,2,4,2,2,1,2,5,2,14,12,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"124",1,2,16,2,1,2,4,4,1,1,0,1,2,1,2,2,2,2,1,3,4,4,1,4,5,4,12,13,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"125",1,1,16,2,1,2,2,2,1,2,0,1,1,1,1,2,2,2,2,5,4,4,1,1,5,0,12,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"126",1,2,15,2,1,2,3,4,1,1,0,2,1,1,1,2,2,2,1,5,5,5,3,2,5,2,9,9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
